name,noize,method,score,error
samples/1.jpeg,SQUEEZE(0.800000),FAILED,FAILED,FAILED,
samples/1.jpeg,GAUSSIAN_NOISE(0.400000),,0.843538,"(0,0)",
samples/1.jpeg,GAUSSIAN_NOISE(0.600000),,0.812499,"(0,0)",
samples/1.jpeg,GAUSSIAN_NOISE(0.800000),FAILED,FAILED,FAILED,
samples/4.jpeg,FLAT_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.943688,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.943688,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.943688,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.943688,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.943688,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.943688,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.943688,"(0,0)",
samples/4.jpeg,FLAT_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.943688,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.953707,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.953707,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.953707,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.953707,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.953707,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.953707,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.953707,"(0,0)",
samples/4.jpeg,COMPLEX_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.953707,"(0,0)",
samples/4.jpeg,DARKEN(0.400000),,0.990081,"(0,0)",
samples/4.jpeg,DARKEN(0.600000),,0.990164,"(0,0)",
samples/4.jpeg,DARKEN(0.800000),,0.990201,"(0,0)",
samples/4.jpeg,DARKEN(1.000000),,0.990226,"(0,0)",
samples/4.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/4.jpeg,ROTATE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.952699,"(3,2)",
samples/4.jpeg,ROTATE(0.600000),HOMOGRAPHY_TRANSFORM:,0.817993,"(2,2)",
samples/4.jpeg,ROTATE(0.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.941767,"(5,3)",
samples/4.jpeg,ROTATE(1.000000),HOMOGRAPHY_TRANSFORM:,0.965325,"(0,0)",
samples/4.jpeg,ROTATE(1.200000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.928195,"(3,2)",
samples/4.jpeg,ROTATE(1.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.941510,"(3,2)",
samples/4.jpeg,ROTATE(1.600000),HOMOGRAPHY_TRANSFORM:,0.818181,"(2,2)",
samples/4.jpeg,ROTATE(1.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.940850,"(5,3)",
samples/4.jpeg,STRECH(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.952699,"(3,2)",
samples/4.jpeg,STRECH(0.600000),FAILED,FAILED,FAILED,
samples/4.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.952699,"(3,2)",
samples/4.jpeg,SQUEEZE(0.600000),FAILED,FAILED,FAILED,
samples/4.jpeg,GAUSSIAN_NOISE(0.400000),,0.840005,"(0,0)",
samples/4.jpeg,GAUSSIAN_NOISE(0.600000),,0.805485,"(0,0)",
samples/4.jpeg,GAUSSIAN_NOISE(0.800000),FAILED,FAILED,FAILED,
samples/5.jpeg,FLAT_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.836667,"(-1,0)",
samples/5.jpeg,FLAT_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.836667,"(-1,0)",
samples/5.jpeg,FLAT_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.836667,"(-1,0)",
samples/5.jpeg,FLAT_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.836667,"(-1,0)",
samples/5.jpeg,FLAT_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.836667,"(-1,0)",
samples/5.jpeg,FLAT_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.836667,"(-1,0)",
samples/5.jpeg,FLAT_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.836667,"(-1,0)",
samples/5.jpeg,FLAT_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.836667,"(-1,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.865892,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.865892,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.865892,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.865892,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.865892,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.865892,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.865892,"(0,0)",
samples/5.jpeg,COMPLEX_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.865892,"(0,0)",
samples/5.jpeg,DARKEN(0.400000),,0.982721,"(0,0)",
samples/5.jpeg,DARKEN(0.600000),,0.982811,"(0,0)",
samples/5.jpeg,DARKEN(0.800000),,0.982868,"(0,0)",
samples/5.jpeg,DARKEN(1.000000),,0.982887,"(0,0)",
samples/5.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/5.jpeg,ROTATE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.848588,"(4,7)",
samples/5.jpeg,ROTATE(0.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.901297,"(5,13)",
samples/5.jpeg,ROTATE(0.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.908989,"(5,19)",
samples/5.jpeg,ROTATE(1.000000),HOMOGRAPHY_TRANSFORM:,0.920882,"(0,0)",
samples/5.jpeg,ROTATE(1.200000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.906801,"(5,18)",
samples/5.jpeg,ROTATE(1.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.849840,"(4,7)",
samples/5.jpeg,ROTATE(1.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.908619,"(5,13)",
samples/5.jpeg,ROTATE(1.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.902260,"(5,19)",
samples/5.jpeg,STRECH(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.848588,"(4,7)",
samples/5.jpeg,STRECH(0.600000),FAILED,FAILED,FAILED,
samples/5.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.848588,"(4,7)",
samples/5.jpeg,SQUEEZE(0.600000),FAILED,FAILED,FAILED,
samples/5.jpeg,GAUSSIAN_NOISE(0.400000),FAILED,FAILED,FAILED,
samples/2.jpeg,FLAT_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.970728,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.970728,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.970728,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.970728,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.970728,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.970728,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.970728,"(0,0)",
samples/2.jpeg,FLAT_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.970728,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.905182,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.905182,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.905182,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.905182,"(0,0)",
