name,noize,method,score,error
samples/2.jpeg,DARKEN(0.400000),,0.990993,"(0,0)",
samples/2.jpeg,DARKEN(0.600000),,0.991176,"(0,0)",
samples/2.jpeg,DARKEN(0.800000),,0.953515,"(2,2)",
samples/2.jpeg,DARKEN(1.000000),,0.960875,"(2,2)",
samples/2.jpeg,DARKEN(1.200000),,0.818180,"(2,2)",
samples/2.jpeg,DARKEN(1.400000),FAILED,FAILED,FAILED,
samples/2.jpeg,ROTATE(0.400000),FAILED,FAILED,FAILED,
samples/2.jpeg,STRECH(0.400000),FAILED,FAILED,FAILED,
samples/2.jpeg,SQUEEZE(0.400000),FAILED,FAILED,FAILED,
samples/2.jpeg,GAUSSIAN_NOISE(0.400000),MEAN_DENOISING:,0.937066,"(0,0)",
samples/2.jpeg,GAUSSIAN_NOISE(0.600000),MEAN_DENOISING:,0.925089,"(0,0)",
samples/2.jpeg,GAUSSIAN_NOISE(0.800000),MEAN_DENOISING:,0.916800,"(0,0)",
samples/2.jpeg,GAUSSIAN_NOISE(1.000000),MEAN_DENOISING:,0.886226,"(0,0)",
samples/2.jpeg,GAUSSIAN_NOISE(1.200000),MEAN_DENOISING:,0.833645,"(0,0)",
samples/2.jpeg,GAUSSIAN_NOISE(1.400000),FAILED,FAILED,FAILED,
samples/3.jpeg,FLAT_UTURIKOMI(0.400000),BINARIZATION_MASK:,0.957710,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.910689,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.912231,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.842331,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(1.200000),FAILED,FAILED,FAILED,
samples/3.jpeg,COMPLEX_UTURIKOMI(0.400000),BINARIZATION_MASK:,0.960197,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.930590,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.888775,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(1.000000),FAILED,FAILED,FAILED,
samples/3.jpeg,DARKEN(0.400000),,0.997679,"(0,0)",
samples/3.jpeg,DARKEN(0.600000),,0.997754,"(0,0)",
samples/3.jpeg,DARKEN(0.800000),,0.997782,"(0,0)",
samples/3.jpeg,DARKEN(1.000000),,0.968274,"(1,0)",
samples/3.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/3.jpeg,ROTATE(0.400000),FAILED,FAILED,FAILED,
samples/3.jpeg,STRECH(0.400000),FAILED,FAILED,FAILED,
samples/3.jpeg,SQUEEZE(0.400000),FAILED,FAILED,FAILED,
samples/3.jpeg,GAUSSIAN_NOISE(0.400000),,0.882943,"(0,0)",
samples/3.jpeg,GAUSSIAN_NOISE(0.600000),,0.842940,"(0,0)",
samples/3.jpeg,GAUSSIAN_NOISE(0.800000),MEAN_DENOISING:,0.916063,"(0,0)",
samples/3.jpeg,GAUSSIAN_NOISE(1.000000),MEAN_DENOISING:,0.868343,"(0,0)",
samples/3.jpeg,GAUSSIAN_NOISE(1.200000),MEAN_DENOISING:,0.806578,"(0,-1)",
samples/3.jpeg,GAUSSIAN_NOISE(1.400000),FAILED,FAILED,FAILED,
